name,road_address,latitude,longitude,toilet_type,open_time_type
교남동주민센터,서울특별시 종로구 송월길 154,37.57187,126.96198,개방화장실,정시
백남준기념관,서울특별시 종로구 종로53길 12-1,37.57307,127.01378,개방화장실,정시
이화동 마을박물관,서울특별시 종로구 낙산성곽서1길 19,37.57786,127.00794,개방화장실,정시
원각사화장실,서울특별시 종로구 종로17길 34,37.57201,126.98857,개방화장실,정시
수성동계곡 공중화장실,서울특별시 종로구 옥인동 179-4,37.58256,126.96299,공중화장실,상시
신교공영주차장,"서울특별시 종로구 자하문로33길 89, 지하2층",37.58568,126.96657,개방화장실,정시
숭인1동 주민센터,서울특별시 종로구 지봉로 86,37.57784,127.01564,개방화장실,정시
광장시장 3층 광장직물부,서울특별시 종로구 창경궁로 88,37.57009,126.99608,개방화장실,정시
사직단 공중화장실(사직공원),서울특별시 종로구 사직동 1-28,37.57594,126.96727,공중화장실,상시
주식회사 대양씨앤씨 경복궁주유소,서울특별시 종로구 율곡로 6,37.57629,126.98928,공중화장실,상시
버거킹(수송동점),서울특별시 종로구 삼봉로 57,37.57258,126.98048,개방화장실,상시
와룡공원(배드민턴장),서울특별시 종로구 명륜3가 산2-14,37.59158,126.99236,공중화장실,상시
여전도회관,서울특별시 종로구 율곡로 190,37.57293,126.99947,개방화장실,정시
구기동공중화장실,서울특별시 종로구 비봉길 13,37.60962,126.95642,공중화장실,상시
동대문지하상가 화장실,서울특별시 종로구 율곡로 지하 308,37.57616,126.99479,개방화장실,정시
홍염장 공방,서울특별시 종로구 재동 33,37.57895,126.98423,개방화장실,정시
광장전통시장 기부채납건물 1층,서울특별시 종로구 동호로 403-26,37.57046,127.00108,공중화장실,정시
종로5가역(1),서울특별시 종로구 종로5가 82-1 1호선 종로5가역,37.571743,127.011169,공중화장실,정시
세종문화회관 화장실,서울특별시 종로구 세종대로 175,37.57224,126.97594,개방화장실,정시
㈜인사아트프라자,서울특별시 종로구 인사동길 34-1,37.57385,126.98561,개방화장실,정시
